timestamp,component,running,pids
2026-08-05T09:26:02Z,terrain_mapper,1,14620
2026-08-05T09:26:02Z,body_lattice_planner,1,14627
2026-08-05T09:26:02Z,go2_sdk2_bridge,0,
2026-08-05T09:26:02Z,go2_rl_controller,0,
2026-08-05T09:26:45Z,hesai_lidar,1,12733;12736
2026-08-05T09:26:45Z,go2_imu_bridge,1,12799;12811
2026-08-05T09:26:45Z,super_lio,1,12843;12844
2026-08-05T09:26:45Z,body_odom_adapter,1,14607
2026-08-05T09:26:45Z,terrain_mapper,1,14620
2026-08-05T09:26:45Z,body_lattice_planner,1,14627
2026-08-05T09:26:45Z,go2_sdk2_bridge,0,
2026-08-05T09:26:45Z,go2_rl_controller,0,
2026-08-05T09:27:25Z,hesai_lidar,1,12733;12736
2026-08-05T09:27:25Z,go2_imu_bridge,1,12799;12811
2026-08-05T09:27:25Z,super_lio,1,12843;12844
2026-08-05T09:27:25Z,body_odom_adapter,1,14607
2026-08-05T09:27:25Z,terrain_mapper,1,14620
2026-08-05T09:27:25Z,body_lattice_planner,1,14627
2026-08-05T09:27:25Z,go2_sdk2_bridge,0,
2026-08-05T09:27:25Z,go2_rl_controller,0,
2026-08-05T09:28:06Z,hesai_lidar,1,12733;12736
2026-08-05T09:28:06Z,go2_imu_bridge,1,12799;12811
2026-08-05T09:28:06Z,super_lio,1,12843;12844
2026-08-05T09:28:06Z,body_odom_adapter,1,14607
2026-08-05T09:28:06Z,terrain_mapper,1,14620
2026-08-05T09:28:06Z,body_lattice_planner,1,14627
2026-08-05T09:28:06Z,go2_sdk2_bridge,0,
2026-08-05T09:28:06Z,go2_rl_controller,0,
2026-08-05T09:28:47Z,hesai_lidar,1,12733;12736
2026-08-05T09:28:47Z,go2_imu_bridge,1,12799;12811
2026-08-05T09:28:47Z,super_lio,1,12843;12844
2026-08-05T09:28:47Z,body_odom_adapter,1,17001
2026-08-05T09:28:47Z,terrain_mapper,1,17014
2026-08-05T09:28:47Z,body_lattice_planner,1,17019
2026-08-05T09:28:47Z,go2_sdk2_bridge,0,
2026-08-05T09:28:47Z,go2_rl_controller,0,
2026-08-05T09:29:32Z,hesai_lidar,1,12733;12736
2026-08-05T09:29:32Z,go2_imu_bridge,1,12799;12811
2026-08-05T09:29:32Z,super_lio,1,12843;12844
2026-08-05T09:29:32Z,body_odom_adapter,1,17001
2026-08-05T09:29:32Z,terrain_mapper,1,17014
2026-08-05T09:29:32Z,body_lattice_planner,1,17019
2026-08-05T09:29:32Z,go2_sdk2_bridge,0,
2026-08-05T09:29:32Z,go2_rl_controller,0,
2026-08-05T09:30:12Z,hesai_lidar,1,12733;12736
2026-08-05T09:30:12Z,go2_imu_bridge,1,12799;12811
2026-08-05T09:30:12Z,super_lio,1,12843;12844
2026-08-05T09:30:12Z,body_odom_adapter,1,17001
2026-08-05T09:30:12Z,terrain_mapper,1,17014
2026-08-05T09:30:12Z,body_lattice_planner,1,17019
2026-08-05T09:30:12Z,go2_sdk2_bridge,0,
2026-08-05T09:30:12Z,go2_rl_controller,0,
2026-08-05T09:30:51Z,hesai_lidar,1,12733;12736
2026-08-05T09:30:51Z,go2_imu_bridge,1,12799;12811
2026-08-05T09:30:51Z,super_lio,1,12843;12844
2026-08-05T09:30:51Z,body_odom_adapter,1,17001
2026-08-05T09:30:51Z,terrain_mapper,1,17014
2026-08-05T09:30:51Z,body_lattice_planner,1,17019
2026-08-05T09:30:51Z,go2_sdk2_bridge,0,
2026-08-05T09:30:51Z,go2_rl_controller,0,
2026-08-05T09:31:30Z,hesai_lidar,1,12733;12736
2026-08-05T09:31:30Z,go2_imu_bridge,1,12799;12811
2026-08-05T09:31:30Z,super_lio,1,12843;12844
2026-08-05T09:31:30Z,body_odom_adapter,1,17001
2026-08-05T09:31:30Z,terrain_mapper,1,17014
2026-08-05T09:31:30Z,body_lattice_planner,1,17019
2026-08-05T09:31:30Z,go2_sdk2_bridge,0,
2026-08-05T09:31:30Z,go2_rl_controller,0,
2026-08-05T09:32:12Z,hesai_lidar,1,12733;12736
2026-08-05T09:32:12Z,go2_imu_bridge,1,12799;12811
2026-08-05T09:32:12Z,super_lio,1,12843;12844
2026-08-05T09:32:12Z,body_odom_adapter,1,17001
2026-08-05T09:32:12Z,terrain_mapper,1,17014
2026-08-05T09:32:12Z,body_lattice_planner,1,17019
2026-08-05T09:32:12Z,go2_sdk2_bridge,0,
2026-08-05T09:32:12Z,go2_rl_controller,0,
2026-08-05T09:32:51Z,hesai_lidar,1,12733;12736
2026-08-05T09:32:51Z,go2_imu_bridge,1,12799;12811
2026-08-05T09:32:51Z,super_lio,1,12843;12844
2026-08-05T09:32:51Z,body_odom_adapter,1,17001
2026-08-05T09:32:51Z,terrain_mapper,1,17014
2026-08-05T09:32:51Z,body_lattice_planner,1,17019
2026-08-05T09:32:51Z,go2_sdk2_bridge,0,
2026-08-05T09:32:51Z,go2_rl_controller,0,
2026-08-05T09:33:34Z,hesai_lidar,1,12733;12736
2026-08-05T09:33:34Z,go2_imu_bridge,1,12799;12811
2026-08-05T09:33:34Z,super_lio,1,12843;12844
2026-08-05T09:33:34Z,body_odom_adapter,1,18537
2026-08-05T09:33:34Z,terrain_mapper,1,18543
2026-08-05T09:33:34Z,body_lattice_planner,1,18547
2026-08-05T09:33:34Z,go2_sdk2_bridge,0,
2026-08-05T09:33:34Z,go2_rl_controller,0,
2026-08-05T09:34:17Z,hesai_lidar,1,12733;12736
2026-08-05T09:34:17Z,go2_imu_bridge,1,12799;12811
2026-08-05T09:34:17Z,super_lio,1,12843;12844
2026-08-05T09:34:17Z,body_odom_adapter,1,18537
2026-08-05T09:34:17Z,terrain_mapper,1,18543
